
2022-06-21 23:20:21.550295
Stern OK,7,6,128,86,2,1,14407,0.0139
Stern OK,7,6,128,86,2,1,2514,0.0455
Stern OK,7,6,128,86,2,1,11190,0.0152
Stern OK,7,6,128,86,2,1,7346,0.0238
Stern OK,7,6,128,86,2,1,18659,0.0114
Stern OK,7,6,128,86,2,1,3578,0.037
Stern OK,7,6,128,86,2,1,37953,0.0042
Stern OK,7,6,128,86,2,1,22043,0.0106
2022-06-23 09:32:35.417868
2022-06-23 20:49:09.440449
Stern OK,7,6,128,86,2,1,16386,0.0116
Stern OK,7,6,128,86,2,1,23913,0.0058
Stern OK,7,6,128,86,2,1,4144,0.0385
Stern OK,7,6,128,86,2,1,50448,0.0035
Stern OK,7,6,128,86,2,1,26745,0.006
Stern OK,7,6,128,86,2,1,11580,0.0141
Stern OK,7,6,128,86,2,1,19032,0.0087
2022-06-25 15:30:12.839415
2022-06-25 15:30:22.095664
Stern OK,7,6,128,86,2,1,14735,0.0116
Stern OK,7,6,128,86,2,1,8968,0.0192
Stern OK,7,6,128,86,2,2,36205,0.0115
Stern OK,7,6,128,86,2,2,32656,0.0147
Stern OK,7,6,128,86,2,2,610,0.1429
Stern OK,7,6,128,86,2,2,1946,0.2
Stern OK,7,6,128,86,2,2,10880,0.027
