
2022-06-21 23:18:55.373233
2022-06-21 23:28:08.042134
2022-06-21 23:45:25.269133
Ball coll OK,7,6,128,86,43,2,1,0,0,1,24266,0.0072
Ball coll OK,7,6,128,86,43,2,1,0,0,1,33306,0.006
Ball coll OK,7,6,128,86,43,2,1,0,0,1,2670,0.1111
2022-06-22 09:51:10.346884
Ball coll OK,7,6,128,86,43,2,1,0,0,1,2613,0.1
Ball coll OK,7,6,128,86,43,2,1,0,0,1,16115,0.0114
Ball coll OK,7,6,128,86,43,2,1,0,0,1,2456,0.1429
Ball coll OK,7,6,128,86,43,2,1,0,0,1,15470,0.0118
Ball coll OK,7,6,128,86,43,2,1,0,0,1,16591,0.0099
Ball coll OK,7,6,128,86,43,1,1,1,0,4,62085,0.003
Ball coll OK,7,6,128,86,43,2,1,0,0,1,8776,0.0172
Ball coll OK,7,6,128,86,43,2,1,0,0,1,8759,0.0263
Ball coll OK,7,6,128,86,43,2,1,0,0,1,11486,0.0196
Ball coll OK,7,6,128,86,43,2,1,0,0,1,16236,0.0164
Ball coll OK,7,6,128,86,43,2,1,0,0,1,24068,0.0084
Ball coll OK,7,6,128,86,43,2,1,0,0,1,16245,0.0095
Ball coll OK,7,6,128,86,43,2,1,0,0,1,664,0.3333
Ball coll OK,7,6,128,86,43,1,1,1,0,4,41521,0.0051
Ball coll OK,7,6,128,86,43,2,1,0,0,1,5231,0.0435
Ball coll OK,7,6,128,86,43,2,1,0,0,1,9702,0.0204
Ball coll OK,7,6,128,86,43,2,1,0,0,1,9285,0.0189
2022-06-23 09:30:28.671309
2022-06-23 09:30:52.433956
