,,,,,,
Prange OK,6,3,61,43,18,0.5
Prange OK,6,3,61,43,60,0.0385
Prange OK,6,3,61,43,273,0.0081
Prange OK,6,3,61,43,311,0.0082
Prange OK,6,3,61,43,347,0.0074
Prange OK,6,3,61,43,275,0.0096
Prange OK,6,3,61,43,116,0.0185
Prange OK,6,3,61,43,1131,0.0022
Prange OK,6,3,61,43,618,0.0047
Prange OK,6,3,61,43,465,6
Prange OK,6,3,61,43,254,0.0096
Prange OK,6,3,61,43,135,27
Prange OK,6,3,61,43,1211,0.0023
Prange OK,6,3,61,43,175,0.0147
Prange OK,6,3,61,43,438,0.0062
Prange OK,6,3,61,43,1123,0.0025
Prange OK,6,3,61,43,68,0.04
Prange OK,6,3,61,43,43,0.1
Prange OK,6,3,61,43,17,0.1667
Prange OK,6,3,61,43,1018,0.0027
2022-06-07 11:12:00.415973,,,,,,
Prange OK,7,2,128,114,50,0.0192
Prange OK,7,2,128,114,681,0.0015
Prange OK,7,2,128,114,180,0.0063
Prange OK,7,2,128,114,54,0.02
Prange OK,7,2,128,114,64,0.0167
Prange OK,7,2,128,114,105,0.0104
Prange OK,7,2,128,114,123,0.0085
Prange OK,7,2,128,114,256,4
Prange OK,7,2,128,114,183,0.0064
