
2022-01-03 11:50:29.671076
Stern OK,6,5,64,44,2,2,3935,0.0
Stern OK,6,5,64,44,2,2,167,0.0002
Stern OK,6,5,64,44,2,2,1247,0.0
2022-01-08 11:34:16.686076
Stern OK,7,4,128,100,2,1,158,0.2
Stern OK,7,4,128,100,2,1,92,0.25
Stern OK,7,4,128,100,2,1,1019,0.02
Stern OK,7,4,128,100,2,1,346,0.25
Stern OK,7,4,128,100,2,1,568,0.0714
Stern OK,7,4,128,100,2,1,2454,0.0102
Stern OK,7,4,128,100,2,1,1679,0.0139
Stern OK,7,4,128,100,2,1,1150,0.0192
Stern OK,7,4,128,100,2,1,78,0.5
Stern OK,7,4,128,100,2,1,959,0.027
Stern OK,7,4,128,100,2,1,181,0.1667
Stern OK,7,4,128,100,2,1,707,0.0333
Stern OK,7,4,128,100,2,1,1584,0.0179
2022-01-08 14:50:27.735928
Stern OK,7,4,128,100,2,1,934,0.0455
Stern OK,7,4,128,100,2,1,426,0.04
Stern OK,7,4,128,100,2,1,691,0.037
Stern OK,7,4,128,100,2,1,3367,0.0075
Stern OK,7,4,128,100,2,1,434,0.0909
Stern OK,7,4,128,100,2,1,2768,0.0095
Stern OK,7,4,128,100,2,2,7900,0.0435
Stern OK,7,4,128,100,2,1,585,0.037
Stern OK,7,4,128,100,2,1,89,0.3333
Stern OK,7,4,128,100,2,1,3020,0.0092
Stern OK,7,4,128,100,2,1,254,0.1111
Stern OK,7,4,128,100,2,2,6746,0.0833
Stern OK,7,4,128,100,2,1,5153,0.005
Stern OK,7,4,128,100,2,1,671,0.0357
Stern OK,7,4,128,100,2,1,2355,0.0133
Stern OK,7,4,128,100,2,2,6205,0.0625
Stern OK,7,4,128,100,2,1,1087,0.0147
Stern OK,7,4,128,100,2,1,157,0.25
Stern OK,7,4,128,100,2,2,4381,0.0625
Stern OK,7,4,128,100,2,1,4267,0.0054
Stern OK,7,4,128,100,2,1,2785,0.0103
Stern OK,7,4,128,100,2,1,2040,0.0116
Stern OK,7,4,128,100,2,1,577,0.0625
